Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 20:38,05-07-2018 20:45,6m - 24.051s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 20:45,05-07-2018 20:45,0.776s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-EditGroup-05,Chrome 67.0.3396.99,To verify that public admin is able to view Manage report groups button,05-07-2018 20:45,05-07-2018 20:51,5m - 56.058s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 20:45,05-07-2018 20:45,3.418s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 20:45,05-07-2018 20:45,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 20:45,05-07-2018 20:51,5m - 51.688s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 20:51,05-07-2018 20:51,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 20:51,05-07-2018 20:51,0.656s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-ReportingGroupManagement-03,Chrome 67.0.3396.99,To verify that public admin is able to view Reporting Group Management screen,05-07-2018 20:51,05-07-2018 20:54,2m - 51.404s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 20:51,05-07-2018 20:51,3.593s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 20:51,05-07-2018 20:51,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 20:51,05-07-2018 20:54,2m - 47.001s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 20:54,05-07-2018 20:54,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 20:54,05-07-2018 20:54,0.654s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreDetailsPage-09,Chrome 67.0.3396.99,To verify that public admin is able to view store details page,05-07-2018 20:54,05-07-2018 20:59,5m - 14.163s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 20:54,05-07-2018 20:54,3.554s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 20:54,05-07-2018 20:54,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 20:54,05-07-2018 20:59,5m - 9.763s,FAILED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 20:59,05-07-2018 20:59,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 20:59,05-07-2018 20:59,0.639s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-01,Chrome 67.0.3396.99,To verify that public admin is able to view Manage report groups button,05-07-2018 20:59,05-07-2018 21:01,2m - 9.204s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 20:59,05-07-2018 20:59,3.416s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 20:59,05-07-2018 20:59,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 20:59,05-07-2018 21:01,2m - 4.966s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 21:01,05-07-2018 21:01,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 21:01,05-07-2018 21:01,0.677s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-02,Chrome 67.0.3396.99,To verify that Manage Report Groups button is shown based on user's authorization,05-07-2018 21:01,05-07-2018 21:03,2m - 5.033s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 21:01,05-07-2018 21:01,3.379s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 21:01,05-07-2018 21:01,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 21:01,05-07-2018 21:03,2m - 0.806s,FAILED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 21:03,05-07-2018 21:03,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 21:03,05-07-2018 21:03,0.683s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-01,Chrome 67.0.3396.99,To verify that public admin is able to view Goal Statistics Reports screen,05-07-2018 21:03,05-07-2018 21:11,8m - 14.717s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 21:03,05-07-2018 21:03,3.277s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 21:03,05-07-2018 21:03,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 21:03,05-07-2018 21:11,8m - 10.549s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 21:11,05-07-2018 21:11,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 21:11,05-07-2018 21:11,0.696s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-03,Chrome 67.0.3396.99,To verify that public admin is able generate Day Goal Report when there is only 2 goal set.,05-07-2018 21:11,05-07-2018 21:18,6m - 46.416s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 21:11,05-07-2018 21:11,3.351s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 21:11,05-07-2018 21:11,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 21:11,05-07-2018 21:18,6m - 42.142s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 21:18,05-07-2018 21:18,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 21:18,05-07-2018 21:18,0.711s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-02,Chrome 67.0.3396.99,To verify that public admin is able to generate weekly goal statistics report for selected groups/stores for selected duration,05-07-2018 21:18,05-07-2018 21:25,6m - 46.954s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,05-07-2018 21:18,05-07-2018 21:18,3.359s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,05-07-2018 21:18,05-07-2018 21:18,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,05-07-2018 21:18,05-07-2018 21:25,6m - 42.682s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,05-07-2018 21:25,05-07-2018 21:25,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,05-07-2018 21:25,05-07-2018 21:25,0.675s,PASSED
