Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 67.0.3396.99,,2018-07-11 19:08:43,2018-07-11 19:21:58,13m - 14.634s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-04,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Day summary report,2018-07-11 19:08:44,2018-07-11 19:10:57,2m - 13.159s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 19:08:44,2018-07-11 19:08:47,3.708s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 19:08:48,2018-07-11 19:08:48,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 19:08:48,2018-07-11 19:10:56,2m - 8.594s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 19:10:56,2018-07-11 19:10:56,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 19:10:56,2018-07-11 19:10:57,0.667s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-05,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Daypart summary report,2018-07-11 19:10:57,2018-07-11 19:13:22,2m - 24.727s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 19:10:57,2018-07-11 19:11:00,3.026s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 19:11:00,2018-07-11 19:11:00,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 19:11:00,2018-07-11 19:13:21,2m - 20.855s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 19:13:21,2018-07-11 19:13:21,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 19:13:21,2018-07-11 19:13:22,0.669s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-06,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in weekly summary report,2018-07-11 19:13:22,2018-07-11 19:15:37,2m - 15.871s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 19:13:22,2018-07-11 19:13:25,3.325s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 19:13:25,2018-07-11 19:13:25,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 19:13:25,2018-07-11 19:15:37,2m - 11.716s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 19:15:37,2018-07-11 19:15:37,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 19:15:37,2018-07-11 19:15:37,0.655s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Day summary report,2018-07-11 19:15:37,2018-07-11 19:17:43,2m - 5.855s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 19:15:37,2018-07-11 19:15:40,3.035s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 19:15:41,2018-07-11 19:15:41,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 19:15:41,2018-07-11 19:17:43,2m - 2.033s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 19:17:43,2018-07-11 19:17:43,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 19:17:43,2018-07-11 19:17:43,0.657s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Daypart summary report,2018-07-11 19:17:43,2018-07-11 19:19:52,2m - 8.322s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 19:17:43,2018-07-11 19:17:46,3.011s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 19:17:46,2018-07-11 19:17:46,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 19:17:46,2018-07-11 19:19:51,2m - 4.528s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 19:19:51,2018-07-11 19:19:51,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 19:19:51,2018-07-11 19:19:52,0.656s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-03,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Weekly summary report.,2018-07-11 19:19:52,2018-07-11 19:21:58,2m - 6.303s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 19:19:52,2018-07-11 19:19:55,3.104s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 19:19:55,2018-07-11 19:19:55,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 19:19:55,2018-07-11 19:21:57,2m - 2.402s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 19:21:57,2018-07-11 19:21:57,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 19:21:57,2018-07-11 19:21:58,0.646s,PASSED
