Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 67.0.3396.99,,2018-07-10 19:43:45,2018-07-10 21:54:03,2h - 10m - 17.987s,FAILED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-04,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Day summary report,2018-07-10 19:43:46,2018-07-10 19:45:49,2m - 3.053s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-10 19:43:46,2018-07-10 19:43:51,5.559s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-10 19:43:52,2018-07-10 19:43:52,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-10 19:43:52,2018-07-10 19:45:48,1m - 56.531s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-10 19:45:48,2018-07-10 19:45:48,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-10 19:45:48,2018-07-10 19:45:49,0.662s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-05,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Daypart summary report,2018-07-10 19:45:49,2018-07-10 19:48:07,2m - 18.562s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-10 19:45:49,2018-07-10 19:45:52,3.531s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-10 19:45:53,2018-07-10 19:45:53,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-10 19:45:53,2018-07-10 19:48:07,2m - 14.103s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-10 19:48:07,2018-07-10 19:48:07,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-10 19:48:07,2018-07-10 19:48:07,0.691s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-06,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in weekly summary report,2018-07-10 19:48:07,2018-07-10 19:50:26,2m - 18.706s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-10 19:48:07,2018-07-10 19:48:12,4.038s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-10 19:48:12,2018-07-10 19:48:12,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-10 19:48:12,2018-07-10 19:50:25,2m - 13.826s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-10 19:50:25,2018-07-10 19:50:25,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-10 19:50:25,2018-07-10 19:50:26,0.662s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Day summary report,2018-07-10 19:50:26,2018-07-10 19:52:21,1m - 55.170s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-10 19:50:26,2018-07-10 19:50:30,3.709s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-10 19:50:30,2018-07-10 19:50:30,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-10 19:50:30,2018-07-10 19:52:21,1m - 50.554s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-10 19:52:21,2018-07-10 19:52:21,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-10 19:52:21,2018-07-10 19:52:21,0.699s,PASSED
,,,,,,
