Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 67.0.3396.99,,2018-07-11 10:40:16,2018-07-11 10:42:18,2m - 2.030s,INCOMPLETE
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-04,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Day summary report,2018-07-11 10:40:17,2018-07-11 10:41:56,1m - 39.211s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 10:40:17,2018-07-11 10:40:30,13.662s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 10:40:31,2018-07-11 10:40:31,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 10:40:31,2018-07-11 10:41:54,1m - 23.946s,PASSED
Statement - Catch (Exception e),Chrome 67.0.3396.99,,2018-07-11 10:41:54,2018-07-11 10:41:55,0.323s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 10:41:55,2018-07-11 10:41:55,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 10:41:55,2018-07-11 10:41:56,1.015s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-05,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Daypart summary report,2018-07-11 10:41:56,2018-07-11 10:42:18,22.429s,INCOMPLETE
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 10:41:56,2018-07-11 10:41:59,3.545s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 10:42:00,2018-07-11 10:42:00,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 10:42:00,2018-07-11 10:42:18,18.646s,INCOMPLETE
